 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  24.12.2021    Time:  14: 7:36
 Units: L = cm   , T = hours, M = mmol 


    n      depth     THr       THs       hs       Ks        Ks/KsTop     Beta      Ah        AK        ATh
  600     11.98     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  601     12.00     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  602     12.02     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  603     12.04     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  604     12.06     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  605     12.08     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  606     12.10     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  607     12.12     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  608     12.14     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  609     12.16     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  610     12.18     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  611     12.20     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  612     12.22     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  613     12.24     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  614     12.26     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  615     12.28     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  616     12.30     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  617     12.32     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  618     12.34     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  619     12.36     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  620     12.38     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  621     12.40     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  622     12.42     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  623     12.44     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  624     12.46     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  625     12.48     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  626     12.50     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  627     12.52     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  628     12.54     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  629     12.56     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  630     12.58     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  631     12.60     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  632     12.62     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  633     12.64     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  634     12.66     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  635     12.68     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  636     12.70     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  637     12.72     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  638     12.74     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  639     12.76     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  640     12.78     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  641     12.80     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  642     12.82     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  643     12.84     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  644     12.86     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  645     12.88     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  646     12.90     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  647     12.92     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  648     12.94     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  649     12.96     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  650     12.98     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  651     13.00     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  652     13.02     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  653     13.04     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  654     13.06     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  655     13.08     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  656     13.10     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  657     13.12     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  658     13.14     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  659     13.16     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  660     13.18     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  661     13.20     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  662     13.22     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  663     13.24     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  664     13.26     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  665     13.28     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  666     13.30     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  667     13.32     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  668     13.34     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  669     13.36     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  670     13.38     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  671     13.40     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  672     13.42     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  673     13.44     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  674     13.46     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  675     13.48     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  676     13.50     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  677     13.52     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  678     13.54     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  679     13.56     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  680     13.58     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  681     13.60     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  682     13.62     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  683     13.64     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  684     13.66     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  685     13.68     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  686     13.70     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  687     13.72     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  688     13.74     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  689     13.76     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  690     13.78     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  691     13.80     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  692     13.82     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  693     13.84     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  694     13.86     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  695     13.88     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  696     13.90     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  697     13.92     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  698     13.94     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  699     13.96     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  700     13.98     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  701     14.00     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  702     14.02     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  703     14.04     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  704     14.06     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  705     14.08     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  706     14.10     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  707     14.12     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  708     14.14     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  709     14.16     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  710     14.18     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  711     14.20     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  712     14.22     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  713     14.24     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  714     14.26     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  715     14.28     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  716     14.30     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  717     14.32     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  718     14.34     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  719     14.36     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  720     14.38     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  721     14.40     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  722     14.42     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  723     14.44     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  724     14.46     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  725     14.48     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  726     14.50     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  727     14.52     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  728     14.54     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  729     14.56     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  730     14.58     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  731     14.60     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  732     14.62     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  733     14.64     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  734     14.66     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  735     14.68     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  736     14.70     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  737     14.72     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  738     14.74     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  739     14.76     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  740     14.78     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  741     14.80     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  742     14.82     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  743     14.84     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  744     14.86     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  745     14.88     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  746     14.90     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  747     14.92     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  748     14.94     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  749     14.96     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  750     14.98     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  751     15.00     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  752     15.02     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  753     15.04     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  754     15.06     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  755     15.08     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  756     15.10     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  757     15.12     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  758     15.14     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  759     15.16     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  760     15.18     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  761     15.20     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  762     15.22     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  763     15.24     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  764     15.26     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  765     15.28     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  766     15.30     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  767     15.32     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  768     15.34     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  769     15.36     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  770     15.38     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  771     15.40     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  772     15.42     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  773     15.44     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  774     15.46     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  775     15.48     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  776     15.50     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  777     15.52     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  778     15.54     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  779     15.56     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  780     15.58     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  781     15.60     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  782     15.62     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  783     15.64     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  784     15.66     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  785     15.68     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  786     15.70     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  787     15.72     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  788     15.74     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  789     15.76     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  790     15.78     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  791     15.80     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  792     15.82     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  793     15.84     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  794     15.86     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  795     15.88     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  796     15.90     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  797     15.92     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  798     15.94     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  799     15.96     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  800     15.98     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  801     16.00     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  802     16.02     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  803     16.04     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  804     16.06     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  805     16.08     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  806     16.10     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  807     16.12     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  808     16.14     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  809     16.16     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  810     16.18     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  811     16.20     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  812     16.22     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  813     16.24     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  814     16.26     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  815     16.28     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  816     16.30     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  817     16.32     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  818     16.34     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  819     16.36     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  820     16.38     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  821     16.40     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  822     16.42     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  823     16.44     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  824     16.46     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  825     16.48     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  826     16.50     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  827     16.52     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  828     16.54     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  829     16.56     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  830     16.58     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  831     16.60     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  832     16.62     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  833     16.64     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  834     16.66     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  835     16.68     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  836     16.70     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  837     16.72     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  838     16.74     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  839     16.76     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  840     16.78     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  841     16.80     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  842     16.82     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  843     16.84     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  844     16.86     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  845     16.88     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  846     16.90     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  847     16.92     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  848     16.94     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  849     16.96     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  850     16.98     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  851     17.00     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  852     17.02     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  853     17.04     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  854     17.06     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  855     17.08     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  856     17.10     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  857     17.12     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  858     17.14     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  859     17.16     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  860     17.18     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  861     17.20     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  862     17.22     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  863     17.24     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  864     17.26     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  865     17.28     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  866     17.30     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  867     17.32     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  868     17.34     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  869     17.36     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  870     17.38     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  871     17.40     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  872     17.42     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  873     17.44     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  874     17.46     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  875     17.48     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  876     17.50     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  877     17.52     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  878     17.54     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  879     17.56     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  880     17.58     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  881     17.60     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  882     17.62     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  883     17.64     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  884     17.66     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  885     17.68     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  886     17.70     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  887     17.72     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  888     17.74     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  889     17.76     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  890     17.78     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  891     17.80     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  892     17.82     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  893     17.84     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  894     17.86     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  895     17.88     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  896     17.90     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  897     17.92     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  898     17.94     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  899     17.96     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
  900     17.98     0.065     0.410       0.0   0.442E+01     4.251     0.000     1.000     1.000     1.000
