,ID,random_seed,number_layers,number_units,LAA,number_res,number_ub,weight_values_ic,weight_values_ub,weight_values_lb,ALR,iterations,batch_size,RAR,new_residual_points,time_Adam,time_BFGS,theta_L2_relative_error,theta_abs_relative_error,theta_max_error,psi_L2_relative_error,psi_abs_relative_error,psi_max_error,loss_ub,loss_lb,loss_ic,loss_res
51,2,1,5,50,True,10000,1000,100,10,1,False,100000,128,False,10,2438.757708427,3.0286274579993915,0.0027005999724804765,0.0016616643908362173,0.013823557027896033,0.01227746114512848,0.009459901889463244,0.12230927099747424,4.2484456e-09,1.3284718999999998e-08,6.2229066e-10,8.7756484e-07
52,3,2,5,50,True,10000,1000,100,10,1,False,100000,128,False,10,2458.4839571050006,3.1412230269997963,0.0022118126834829556,0.001750669609629543,0.008235903754686025,0.006950120750861359,0.007758239773471603,0.06710710101435668,1.3303768999999999e-08,2.3678631999999998e-08,8.823279300000001e-10,1.7278378999999998e-06
53,4,3,5,50,True,10000,1000,100,10,1,False,100000,128,False,10,2470.8914135739997,3.338207335998959,0.0027976962734530056,0.0017182452218770109,0.013189229497035132,0.012421098216123071,0.009782476634415357,0.12016326536698108,3.6250964e-09,3.1737425e-08,3.6304568e-10,1.1985769e-06
54,5,4,5,50,True,10000,1000,100,10,1,False,100000,128,False,10,2501.224957317001,3.1921189009990485,0.0020776510865350207,0.0012236581332775262,0.011774811276515113,0.00937604828210263,0.007155429254360229,0.10181941562006958,3.4232372e-09,1.9282078000000002e-08,8.825789e-10,1.2129881999999998e-06
55,6,5,5,50,True,10000,1000,100,10,1,False,100000,128,False,10,2336.776530367,2.4545090560000062,0.003968028391066392,0.0024015789823307442,0.018945145734866248,0.018757890587631373,0.014371110827684367,0.17081003967938369,4.814152e-09,6.471473000000001e-08,1.3009018e-09,1.4992665e-06
56,7,6,5,50,True,10000,1000,100,10,1,False,100000,128,False,10,2342.898452039,3.4885929599995507,0.002314622858271504,0.0018698342693410537,0.007691519632791188,0.006627347525258544,0.008002234727307557,0.05805906500267288,2.9111350000000004e-09,3.428027e-08,2.1429302999999997e-10,1.2058593000000001e-06
57,8,7,5,50,True,10000,1000,100,10,1,False,100000,128,False,10,2340.059665691,3.189445762000105,0.005214673032097019,0.0034032105878919324,0.02301909340294181,0.02477420904533984,0.02023158365344861,0.19642073263687854,4.566174e-08,8.149765999999999e-08,5.6156684e-09,4.603329e-06
58,9,8,5,50,True,10000,1000,100,10,1,False,100000,128,False,10,2297.0879450189996,2.734688159000143,0.0015704266586545148,0.0011914744533393618,0.0076041541247116595,0.0057737654025752615,0.005716970227893386,0.06302918963740356,5.5439062e-09,6.872091499999999e-08,1.6207713e-09,9.196993000000001e-07
59,10,9,5,50,True,10000,1000,100,10,1,False,100000,128,False,10,2335.031339364001,2.832908786000189,0.003106959908882831,0.002262492455277965,0.013229030498583899,0.013069979813537762,0.011933426543404225,0.11709553350968127,3.8838848e-09,9.340815e-09,5.357509e-10,1.1440253e-06
60,11,0,5,50,True,10000,1000,100,10,3,False,100000,128,False,10,2401.901680066001,3.058323322000433,0.0025995846470385875,0.0021322441124237415,0.0071177355198608905,0.006944465157632764,0.008883181736061823,0.054233877319567414,8.835509e-09,5.1980438e-09,5.0818433e-10,1.8700557000000001e-06
61,12,1,5,50,True,10000,1000,100,10,3,False,100000,128,False,10,2475.1784271379984,3.022409924000385,0.0017447894727731883,0.0013332402781160886,0.004661174788926747,0.004836887923303091,0.005273480377913821,0.05873096014507562,7.282604e-09,2.4459839e-09,8.7561497e-10,1.3137733e-06
62,13,2,5,50,True,10000,1000,100,10,3,False,100000,128,False,10,2465.3338803840015,3.022178367999004,0.0011925489551012352,0.0009601639566171659,0.00497346323899811,0.004032688437468934,0.00439124298896258,0.03351243924281244,1.5200221e-09,1.0663064e-09,1.2720318999999998e-10,6.4132024e-07
63,14,3,5,50,True,10000,1000,100,10,3,False,100000,128,False,10,2481.737106436998,2.8702372379993903,0.0019439551054255262,0.0012163025448169084,0.010283339151461707,0.008426629395969047,0.006654351122351293,0.08966261496109729,5.719404e-09,2.7453086e-09,1.5371381999999999e-10,8.8071295e-07
64,15,4,5,50,True,10000,1000,100,10,3,False,100000,128,False,10,2527.7485500959992,3.363868440999795,0.002325783364381253,0.0017342362631766538,0.010680917033274756,0.008616404289462865,0.008203468530712873,0.0961654817060924,4.1735740000000005e-09,1.6074386e-08,8.489607e-10,1.3403863000000002e-06
65,16,5,5,50,True,10000,1000,100,10,3,False,100000,128,False,10,2496.2887743949977,3.615384177002852,0.0034659325657421156,0.0023595295156320023,0.01704001737507163,0.014674524372790822,0.012459866832980103,0.1452818547682262,8.31082e-09,1.7987244e-08,1.0796124e-09,2.0554635e-06
66,17,6,5,50,True,10000,1000,100,10,3,False,100000,128,False,10,2495.558454855003,2.91752101900056,0.0014301155303138556,0.0009512148867031681,0.006173062131552665,0.00674884742666459,0.0054154999369661625,0.06166607489151721,1.7364581e-09,4.8129127e-09,1.9195541e-10,5.5049264e-07
67,18,7,5,50,True,10000,1000,100,10,3,False,100000,128,False,10,2261.422098,2.361723962,0.001122887279,0.0009406014973,0.002530278936,0.00401341113,0.004347131346,0.04020828805,3.0512626e-09,6.6357404e-09,9.604103e-11,6.236553e-07
