,ID,random_seed,number_layers,number_units,LAA,number_res,number_ub,weight_values_ic,weight_values_ub,weight_values_lb,ALR,iterations,batch_size,RAR,new_residual_points,time_Adam,time_BFGS,theta_L2_relative_error,theta_abs_relative_error,theta_max_error,psi_L2_relative_error,psi_abs_relative_error,psi_max_error,loss_ub,loss_lb,loss_ic,loss_res,number_weight_parameters
23,24,3,1,20,True,10000,1000,10,10,10,False,100000,128,False,10,1081.9465257680022,53.49655253799938,0.01586243977269183,0.01143653291944528,0.02121139365263397,0.11014141953237916,0.07602720040832583,0.6152041189534954,4.6997027000000005e-07,5.947568e-07,4.9414492999999995e-06,0.00018761877,60
24,25,4,1,20,True,10000,1000,10,10,10,False,100000,128,False,10,1108.6003904519966,49.48299685600068,0.022611342203342998,0.015193529226052596,0.031264207992853454,0.16021527535008925,0.10437388231972161,1.1220678269726339,3.5766393e-06,2.170349e-06,1.3993235e-05,0.00042754927000000005,60
25,26,5,1,20,True,10000,1000,10,10,10,False,100000,128,False,10,1097.514058967001,35.53130419700028,0.017053253911709605,0.013214480099425042,0.024966471372322385,0.06590610161511862,0.06698458236546419,0.37768779419748233,2.1954124e-06,2.6189782000000004e-06,2.7473877000000004e-06,0.00031958830000000004,60
26,27,6,1,20,True,10000,1000,10,10,10,False,100000,128,False,10,1101.6417913059995,45.35304617699876,0.01619009468984031,0.0116979811386475,0.021367840204538635,0.11259206012744297,0.07826985301037477,0.5969148380731397,7.502717e-07,1.2480098999999999e-06,5.3555345e-06,0.00023602972,60
27,28,7,1,20,True,10000,1000,10,10,10,False,100000,128,False,10,1105.2575064609991,57.58587665599771,0.01896483129458406,0.011446881091988407,0.035546280179323486,0.18869136125029462,0.10877626350045122,1.0196650302702759,9.222784e-06,1.7113068000000001e-06,2.121395e-05,0.00039780556000000003,60
28,29,8,1,20,True,10000,1000,10,10,10,False,100000,128,False,10,1101.3243513710004,37.79114407599991,0.024036504318264967,0.018882681617945037,0.020646102462114624,0.06692862481840466,0.08356084830035054,0.4743629517444794,3.1262903e-06,2.7781161e-06,7.554563000000001e-06,0.00030974473,60
29,30,9,1,20,True,10000,1000,10,10,10,False,100000,128,False,10,1107.0022288719993,0.9587616680000792,0.03705924667664669,0.027908028959811062,0.04871980299034809,0.3589144776496314,0.2244438514699536,1.9757405349913422,1.5793248e-05,1.05026265e-05,3.7069351999999996e-05,0.0007058476,60
30,31,0,1,20,False,10000,1000,10,10,10,False,100000,128,False,10,934.172735909,42.65616277799927,0.02848139599079415,0.023783831717285722,0.03949379149466925,0.08514840929104162,0.10062383006838997,0.7706209244617646,1.9855584e-06,7.4484997e-06,3.0556842999999996e-05,0.00031699417999999995,60
31,32,1,1,20,False,10000,1000,10,10,10,False,100000,128,False,10,935.1914535370015,0.6802791919981246,0.05318320754286201,0.037835431157948546,0.08843552294761114,0.37109300124193245,0.2792399866584266,1.3342816400618371,6.724584e-05,2.458896e-06,0.00029356248,0.0008534302,60
32,33,2,1,20,False,10000,1000,10,10,10,False,100000,128,False,10,941.7005448560012,0.7077771889962605,0.04908047448438332,0.04082045446230432,0.07862105194121771,0.35708912819628724,0.26656397021346345,1.6629991014063306,5.1079922e-05,6.420620599999999e-06,0.0002077905,0.0008504772,60
